CLN8	ZUP1
CDKN2A	ZUP1
ARHGAP45	ZUP1
WAPL	ZSWIM9
TP53BP1	ZSWIM9
JUNB	ZSWIM9
TULP2	ZSWIM8
SURF6	ZSWIM8
PRG2	ZSWIM8
ATXN1	ZSWIM8
ATN1	ZSWIM8
XRCC3	ZSWIM7
UQCRB	ZSWIM7
TUFM	ZSWIM7
TAF1	ZSWIM7
RAD51D	ZSWIM7
PLA2G10	ZSWIM7
HSPA9	ZSWIM7
HSPA5	ZSWIM7
H2BC21	ZSWIM7
TAF1	ZSWIM6
SRF	ZSWIM6
GLMN	ZSWIM6
FOS	ZSWIM6
SRF	ZSWIM4
SP2	ZSWIM4
SP1	ZSWIM4
PBX3	ZSWIM4
NFYB	ZSWIM4
NFYA	ZSWIM4
FOS	ZSWIM4
TRAF2	ZSWIM3
SP2	ZSWIM3
SP1	ZSWIM3
PPP1CA	ZSWIM3
PBX3	ZSWIM3
NFYB	ZSWIM3
NFYA	ZSWIM3
IRF3	ZSWIM3
GMCL1	ZSWIM3
GLI3	ZSWIM3
GLI1	ZSWIM3
GABPA	ZSWIM3
FOS	ZSWIM3
UBE2U	ZSWIM2
UBC	ZSWIM2
TKTL2	ZSWIM2
SEMG1	ZSWIM2
RNASE7	ZSWIM2
MAGEA11	ZSWIM2
LRFN4	ZSWIM2
EZR	ZSWIM2
BCAM	ZSWIM2
SREBF1	ZSWIM1
SP2	ZSWIM1
SP1	ZSWIM1
SCRIB	ZSWIM1
PBX3	ZSWIM1
NFYA	ZSWIM1
IRF3	ZSWIM1
GLI3	ZSWIM1
GLI1	ZSWIM1
FOS	ZSWIM1
TFF3	ZSCAN9
TCF4	ZSCAN9
SUV39H1	ZSCAN9
SRPK2	ZSCAN9
SP110	ZSCAN9
GEM	ZSCAN9
GABPA	ZSCAN9
FHL2	ZSCAN9
ZBTB7B	ZSCAN5B
RINT1	ZSCAN5B
PSPC1	ZSCAN5B
HOMEZ	ZSCAN5B
H1-5	ZSCAN5B
ZSCAN5A	ZSCAN5A
ZMYM4	ZSCAN5A
ZMYM2	ZSCAN5A
SCAND1	ZSCAN5A
RCOR3	ZSCAN5A
RCOR1	ZSCAN5A
OBSL1	ZSCAN5A
NFU1	ZSCAN5A
NCOR2	ZSCAN5A
NCOR1	ZSCAN5A
MRPS34	ZSCAN5A
KDM1A	ZSCAN5A
IPO8	ZSCAN5A
HMGA1	ZSCAN5A
HDAC3	ZSCAN5A
EPHB4	ZSCAN5A
CSNK2B	ZSCAN5A
CSNK2A2	ZSCAN5A
CSNK2A1	ZSCAN5A
ATR	ZSCAN5A
ZSCAN4	ZSCAN4
TRAF3	ZSCAN4
TBC1D22B	ZSCAN4
SMAD9	ZSCAN4
SMAD1	ZSCAN4
PARD6B	ZSCAN4
LAMTOR3	ZSCAN4
KAT5	ZSCAN4
HCK	ZSCAN4
HAT1	ZSCAN4
FAM110A	ZSCAN4
EXOC8	ZSCAN4
CTBP2	ZSCAN4
CIB3	ZSCAN4
ZSCAN32	ZSCAN32
ZSCAN21	ZSCAN32
ZSCAN20	ZSCAN32
ZSCAN12	ZSCAN32
ZNF24	ZSCAN32
ZNF232	ZSCAN32
ZNF213	ZSCAN32
ZNF197	ZSCAN32
ZNF174	ZSCAN32
ZKSCAN8	ZSCAN32
ZKSCAN1	ZSCAN32
TXN2	ZSCAN32
TRAF2	ZSCAN32
TES	ZSCAN32
SETDB1	ZSCAN32
SCAND1	ZSCAN32
PHF1	ZSCAN32
PBX3	ZSCAN32
MAD1L1	ZSCAN32
KEAP1	ZSCAN32
HSPA8	ZSCAN32
CTH	ZSCAN32
TRIM28	ZSCAN31
THAP11	ZSCAN31
TAL1	ZSCAN31
SETDB1	ZSCAN31
RPL26L1	ZSCAN31
RAD21	ZSCAN31
PRDM1	ZSCAN31
PIP5K1A	ZSCAN31
PDCD11	ZSCAN31
MTMR4	ZSCAN31
JUN	ZSCAN31
GATA2	ZSCAN31
GATA1	ZSCAN31
DDIT3	ZSCAN31
CTCF	ZSCAN31
CDKN2AIP	ZSCAN31
BBX	ZSCAN31
ZSCAN32	ZSCAN30
ZSCAN20	ZSCAN30
ZNF446	ZSCAN30
ZNF444	ZSCAN30
ZNF397	ZSCAN30
ZNF232	ZSCAN30
ZKSCAN4	ZSCAN30
SP2	ZSCAN30
RNPS1	ZSCAN30
RGS3	ZSCAN30
H2AC4	ZSCAN30
FRS3	ZSCAN30
DLG1	ZSCAN30
ZSCAN32	ZSCAN29
ZSCAN20	ZSCAN29
ZNF446	ZSCAN29
ZNF232	ZSCAN29
SEC22C	ZSCAN29
RPGRIP1L	ZSCAN29
MAD2L1BP	ZSCAN29
LRP2	ZSCAN29
H2BC21	ZSCAN29
GSDME	ZSCAN29
EHD2	ZSCAN29
ABAT	ZSCAN29
ZSCAN26	ZSCAN26
TRIO	ZSCAN26
TDG	ZSCAN26
SPTAN1	ZSCAN26
SP2	ZSCAN26
SP110	ZSCAN26
PMM1	ZSCAN26
NCBP1	ZSCAN26
MYO1E	ZSCAN26
MYBL2	ZSCAN26
MTOR	ZSCAN26
MSH3	ZSCAN26
LRP4	ZSCAN26
ZSCAN20	ZSCAN25
ZNF483	ZSCAN25
ZNF2	ZSCAN25
ZNF169	ZSCAN25
ZBTB48	ZSCAN25
TENT4B	ZSCAN25
SP2	ZSCAN25
SCAND1	ZSCAN25
SART3	ZSCAN25
RPS8	ZSCAN25
RPS2	ZSCAN25
RPL30	ZSCAN25
RPL14	ZSCAN25
RBM34	ZSCAN25
PPAN	ZSCAN25
PGBD1	ZSCAN25
IPO8	ZSCAN25
H2AX	ZSCAN25
H1-1	ZSCAN25
GABPA	ZSCAN25
E4F1	ZSCAN25
DVL3	ZSCAN25
CTCFL	ZSCAN25
CSNK2A1	ZSCAN25
CNBP	ZSCAN25
CARD10	ZSCAN25
ZSCAN9	ZSCAN23
ZSCAN32	ZSCAN23
ZSCAN21	ZSCAN23
ZSCAN20	ZSCAN23
ZNF446	ZSCAN23
ZNF426	ZSCAN23
ZNF24	ZSCAN23
ZKSCAN7	ZSCAN23
YJU2B	ZSCAN23
TULP3	ZSCAN23
TRAF2	ZSCAN23
SDCBP	ZSCAN23
SCAND1	ZSCAN23
PRKAA2	ZSCAN23
PPARA	ZSCAN23
PICK1	ZSCAN23
PCDHB12	ZSCAN23
LHPP	ZSCAN23
DDIT4L	ZSCAN23
CEP70	ZSCAN23
CDR2L	ZSCAN23
BICD2	ZSCAN23
ZSCAN9	ZSCAN22
ZSCAN32	ZSCAN22
ZSCAN25	ZSCAN22
ZSCAN23	ZSCAN22
ZSCAN22	ZSCAN22
ZSCAN21	ZSCAN22
ZSCAN20	ZSCAN22
ZSCAN18	ZSCAN22
ZSCAN16	ZSCAN22
ZSCAN1	ZSCAN22
ZNF496	ZSCAN22
ZNF483	ZSCAN22
ZNF449	ZSCAN22
ZNF446	ZSCAN22
ZNF444	ZSCAN22
ZNF397	ZSCAN22
ZNF263	ZSCAN22
ZNF24	ZSCAN22
ZNF174	ZSCAN22
ZKSCAN7	ZSCAN22
ZGPAT	ZSCAN22
TLK1	ZSCAN22
SIX5	ZSCAN22
SERTAD2	ZSCAN22
SCAND1	ZSCAN22
PRPF31	ZSCAN22
PGBD1	ZSCAN22
NEXN	ZSCAN22
KCTD19	ZSCAN22
GFI1	ZSCAN22
GABPA	ZSCAN22
ETS1	ZSCAN22
DVL3	ZSCAN22
CDR2L	ZSCAN22
BYSL	ZSCAN22
ZSCAN20	ZSCAN21
ZNF24	ZSCAN21
KDR	ZSCAN21
EFEMP1	ZSCAN21
DVL3	ZSCAN21
CLK2	ZSCAN21
BRCA1	ZSCAN21
BMPR1A	ZSCAN21
ZNF24	ZSCAN20
TYMP	ZSCAN20
SERPINB4	ZSCAN20
SERPINB3	ZSCAN20
PPL	ZSCAN20
KLK10	ZSCAN20
IVL	ZSCAN20
IGKC	ZSCAN20
IGHG2	ZSCAN20
IGHG1	ZSCAN20
HAL	ZSCAN20
H1-5	ZSCAN20
EVPL	ZSCAN20
CAPG	ZSCAN20
C3	ZSCAN20
PRDM1	ZSCAN2
ZSCAN32	ZSCAN18
ZSCAN20	ZSCAN18
ZNF446	ZSCAN18
ZNF274	ZSCAN18
ZNF174	ZSCAN18
UBA52	ZSCAN18
SUFU	ZSCAN18
SETDB1	ZSCAN18
SCAND1	ZSCAN18
SAFB2	ZSCAN18
LIG4	ZSCAN18
HOXD4	ZSCAN18
EPM2AIP1	ZSCAN18
CLK1	ZSCAN18
ZSCAN32	ZSCAN16
ZNF446	ZSCAN16
ZNF24	ZSCAN16
SLC25A38	ZSCAN16
SCAND1	ZSCAN16
PPL	ZSCAN16
NTAQ1	ZSCAN16
AP1M1	ZSCAN16
SETDB1	ZSCAN12P1
ZSCAN21	ZSCAN12
